Type,Value,Score
Nscore,-3.46436,12
Nscore,-3.15735,13
Nscore,-2.75696,14
Nscore,-2.52197,15
Nscore,-2.42317,16
Nscore,-2.34360,17
Nscore,-2.21844,18
Nscore,-2.05048,19
Nscore,-1.86962,20
Nscore,-1.69163,21
Nscore,-1.55078,22
Nscore,-1.43907,23
Nscore,-1.32828,24
Nscore,-1.19430,25
Nscore,-1.05308,26
Nscore,-0.92104,27
Nscore,-0.79151,28
Nscore,-0.67825,29
Nscore,-0.58016,30
Nscore,-0.46725,31
Nscore,-0.34799,32
Nscore,-0.24649,33
Nscore,-0.14882,34
Nscore,-0.05188,35
Nscore,0.04257,36
Nscore,0.13606,37
Nscore,0.22393,38
Nscore,0.31287,39
Nscore,0.41667,40
Nscore,0.52135,41
Nscore,0.62967,42
Nscore,0.73545,43
Nscore,0.82562,44
Nscore,0.91093,45
Nscore,1.02119,46
Nscore,1.13281,47
Nscore,1.23461,48
Nscore,1.37297,49
Nscore,1.49158,50
Nscore,1.60383,51
Nscore,1.72012,52
Nscore,1.83990,53
Nscore,1.98437,54
Nscore,2.12700,55
Nscore,2.28554,56
Nscore,2.46262,57
Nscore,2.61139,58
Nscore,2.82196,59
Nscore,3.27393,60
Escore,-3.27393,16
Escore,-3.00537,18
Escore,-2.72827,19
Escore,-2.53830,20
Escore,-2.44904,21
Escore,-2.32338,22
Escore,-2.21069,23
Escore,-2.11437,24
Escore,-2.03972,25
Escore,-1.92173,26
Escore,-1.76250,27
Escore,-1.63340,28
Escore,-1.50796,29
Escore,-1.37639,30
Escore,-1.23177,31
Escore,-1.09207,32
Escore,-0.94779,33
Escore,-0.80615,34
Escore,-0.69509,35
Escore,-0.57545,36
Escore,-0.43999,37
Escore,-0.30033,38
Escore,-0.15487,39
Escore,0.00332,40
Escore,0.16767,41
Escore,0.32197,42
Escore,0.47617,43
Escore,0.63779,44
Escore,0.80523,45
Escore,0.96248,46
Escore,1.11406,47
Escore,1.28610,48
Escore,1.45421,49
Escore,1.58487,50
Escore,1.74091,51
Escore,1.93886,52
Escore,2.12700,53
Escore,2.32338,54
Escore,2.57309,55
Escore,2.85950,56
Escore,3.00537,58
Escore,3.27393,59
Oscore,-3.27393,24
Oscore,-2.85950,26
Oscore,-2.63199,28
Oscore,-2.39883,29
Oscore,-2.21069,30
Oscore,-2.09015,31
Oscore,-1.97495,32
Oscore,-1.82919,33
Oscore,-1.68062,34
Oscore,-1.55521,35
Oscore,-1.42424,36
Oscore,-1.27553,37
Oscore,-1.11902,38
Oscore,-0.97631,39
Oscore,-0.84732,40
Oscore,-0.71727,41
Oscore,-0.58331,42
Oscore,-0.45174,43
Oscore,-0.31776,44
Oscore,-0.17779,45
Oscore,-0.01928,46
Oscore,0.14143,47
Oscore,0.29338,48
Oscore,0.44585,49
Oscore,0.58331,50
Oscore,0.72330,51
Oscore,0.88309,52
Oscore,1.06238,53
Oscore,1.24033,54
Oscore,1.43533,55
Oscore,1.65653,56
Oscore,1.88511,57
Oscore,2.15324,58
Oscore,2.44904,59
Oscore,2.90161,60
Ascore,-3.46436,12
Ascore,-3.15735,16
Ascore,-3.00537,18
Ascore,-2.90161,23
Ascore,-2.78793,24
Ascore,-2.70172,25
Ascore,-2.53830,26
Ascore,-2.35413,27
Ascore,-2.21844,28
Ascore,-2.07848,29
Ascore,-1.92595,30
Ascore,-1.77200,31
Ascore,-1.62090,32
Ascore,-1.47955,33
Ascore,-1.34289,34
Ascore,-1.21213,35
Ascore,-1.07533,36
Ascore,-0.91699,37
Ascore,-0.76096,38
Ascore,-0.60633,39
Ascore,-0.45321,40
Ascore,-0.30172,41
Ascore,-0.15487,42
Ascore,-0.01729,43
Ascore,0.13136,44
Ascore,0.28783,45
Ascore,0.43852,46
Ascore,0.59042,47
Ascore,0.76096,48
Ascore,0.94156,49
Ascore,1.11406,50
Ascore,1.28610,51
Ascore,1.45039,52
Ascore,1.61108,53
Ascore,1.81866,54
Ascore,2.03972,55
Ascore,2.23427,56
Ascore,2.46262,57
Ascore,2.75696,58
Ascore,3.15735,59
Ascore,3.46436,60
Cscore,-3.46436,17
Cscore,-3.15735,19
Cscore,-2.90161,20
Cscore,-2.72827,21
Cscore,-2.57309,22
Cscore,-2.42317,23
Cscore,-2.30408,24
Cscore,-2.18109,25
Cscore,-2.04506,26
Cscore,-1.92173,27
Cscore,-1.78169,28
Cscore,-1.64101,29
Cscore,-1.51840,30
Cscore,-1.38502,31
Cscore,-1.25773,32
Cscore,-1.13788,33
Cscore,-1.01450,34
Cscore,-0.89891,35
Cscore,-0.78155,36
Cscore,-0.65253,37
Cscore,-0.52745,38
Cscore,-0.40581,39
Cscore,-0.27607,40
Cscore,-0.14277,41
Cscore,-0.00665,42
Cscore,0.12331,43
Cscore,0.25953,44
Cscore,0.41594,45
Cscore,0.58489,46
Cscore,0.75830,47
Cscore,0.93949,48
Cscore,1.13407,49
Cscore,1.30612,50
Cscore,1.46191,51
Cscore,1.63088,52
Cscore,1.81175,53
Cscore,2.04506,54
Cscore,2.33337,55
Cscore,2.63199,56
Cscore,3.00537,57
Cscore,3.46436,59
